Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  Nep_55spp_Lid_loading_angle_1=0_both.txt
Log File Name:                   Nep_55spp_Lid_loading_angle_1=0_both.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2888450219
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   Nep_55spp_Lid_loading_angle_1=0_both.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
89000	-51.185320	293	2	1	'0 Z 1 1 1 0 0 1 	D	8.852332	0.000000	34.437688	34.437688	34.437688	8.852332	8.852332	34.437688	0.250000	0.250000	0.250000	0.250000	11.947984	
90000	-51.834693	379	2	0	'0 0 1 1 1 0 1 1 	D	0.841023	0.841023	4.856073	4.856073	4.856073	0.841023	4.856073	4.856073	0.250000	0.250000	0.250000	0.250000	12.443417	
91000	-50.811803	461	2	0	'0 0 1 0 1 0 1 1 	I	8.670912	8.670912	36.317255	8.670912	36.317255	8.670912	36.317255	36.317255	0.250000	0.250000	0.250000	0.250000	13.926080	
92000	-51.141119	307	2	1	'0 0 1 Z 1 0 0 0 	D	4.859596	4.859596	16.772405	0.000000	16.772405	4.859596	4.859596	4.859596	0.250000	0.250000	0.250000	0.250000	16.476927	
93000	-51.740777	323	2	1	'0 0 1 Z 1 0 0 0 	D	1.289428	1.289428	4.027550	0.000000	4.027550	1.289428	1.289428	1.289428	0.250000	0.250000	0.250000	0.250000	5.676868	
94000	-49.988464	760	2	1	'0 0 1 Z 1 0 0 0 	D	2.754972	2.754972	15.754169	0.000000	15.754169	2.754972	2.754972	2.754972	0.250000	0.250000	0.250000	0.250000	4.838186	
95000	-50.471367	727	2	1	'0 0 1 Z 1 0 0 0 	D	1.579266	1.579266	6.342068	0.000000	6.342068	1.579266	1.579266	1.579266	0.250000	0.250000	0.250000	0.250000	6.206335	
96000	-50.242798	774	2	1	'0 0 1 Z 1 0 0 0 	D	0.467607	0.467607	2.298812	0.000000	2.298812	0.467607	0.467607	0.467607	0.250000	0.250000	0.250000	0.250000	9.290729	
97000	-49.977281	364	2	0	'0 0 1 0 1 0 1 0 	D	6.637236	6.637236	32.605553	6.637236	32.605553	6.637236	32.605553	6.637236	0.250000	0.250000	0.250000	0.250000	18.745242	
98000	-50.545334	83	2	0	'0 0 1 0 1 1 1 0 	D	4.051019	4.051019	31.239569	4.051019	31.239569	31.239569	31.239569	4.051019	0.250000	0.250000	0.250000	0.250000	19.917979	
99000	-50.319835	10	2	0	'0 0 1 0 1 0 1 0 	D	6.747199	6.747199	41.436095	6.747199	41.436095	6.747199	41.436095	6.747199	0.250000	0.250000	0.250000	0.250000	15.853844	
100000	-49.506126	364	2	1	'0 0 1 0 1 0 1 Z 	D	0.094528	0.094528	0.305941	0.094528	0.305941	0.094528	0.305941	0.000000	0.219933	0.260243	0.223455	0.296368	0.482212	
101000	-49.766768	276	2	0	'0 0 1 0 1 1 1 1 	D	5.876015	5.876015	36.550438	5.876015	36.550438	36.550438	36.550438	36.550438	0.250000	0.250000	0.250000	0.250000	16.785376	
102000	-50.294583	537	2	1	'0 0 1 Z 1 1 0 1 	D	6.022397	6.022397	33.789581	0.000000	33.789581	33.789581	6.022397	33.789581	0.250000	0.250000	0.250000	0.250000	10.435866	
103000	-51.415717	687	2	2	'0 0 1 Z 1 1 Z 1 	D	0.308274	0.308274	2.369528	0.000000	2.369528	2.369528	0.000000	2.369528	0.250000	0.250000	0.250000	0.250000	2.452994	
104000	-50.210856	190	2	1	'0 0 1 Z 1 1 0 1 	D	0.137656	0.137656	0.779541	0.000000	0.779541	0.779541	0.137656	0.779541	0.250182	0.250290	0.249847	0.249681	0.867877	
105000	-53.759115	467	1	0	'0 0 0 0 0 0 0 0 	I	0.058337	0.058337	0.058337	0.058337	0.058337	0.058337	0.058337	0.058337	0.464070	0.287174	0.153666	0.095091	2.457018	
106000	-52.180058	915	1	1	'0 0 0 0 0 0 0 Z 	D	0.051215	0.051215	0.051215	0.051215	0.051215	0.051215	0.051215	0.000000	0.513254	0.271706	0.156959	0.058081	3.801354	
107000	-52.650597	946	1	2	'0 0 0 0 0 Z 0 Z 	D	0.037207	0.037207	0.037207	0.037207	0.037207	0.000000	0.037207	0.000000	0.325023	0.506173	0.011536	0.157268	0.415831	
108000	-55.811538	248	1	3	'0 0 0 0 Z Z 0 Z 	D	0.054510	0.054510	0.054510	0.054510	0.000000	0.000000	0.054510	0.000000	0.334072	0.521539	0.000000	0.144389	0.535224	
109000	-54.118258	678	1	3	'0 0 0 0 0 Z Z Z 	D	0.065687	0.065687	0.065687	0.065687	0.065687	0.000000	0.000000	0.000000	0.386115	0.551496	0.062389	0.000000	3.480747	
110000	-52.082557	252	1	1	'0 0 0 0 0 0 Z 0 	D	0.057066	0.057066	0.057066	0.057066	0.057066	0.057066	0.000000	0.057066	0.519373	0.268345	0.178605	0.033677	4.030749	
111000	-54.572010	728	1	3	'0 0 0 0 0 Z Z Z 	D	0.057710	0.057710	0.057710	0.057710	0.057710	0.000000	0.000000	0.000000	0.372418	0.590683	0.036899	0.000000	1.832191	
112000	-55.168130	889	1	1	'0 0 Z 0 0 0 0 0 	D	0.044064	0.044064	0.000000	0.044064	0.044064	0.044064	0.044064	0.044064	0.780064	0.000420	0.194688	0.024827	0.498585	
113000	-52.815578	51	1	3	'0 0 0 0 Z Z 0 Z 	D	0.070713	0.070713	0.070713	0.070713	0.000000	0.000000	0.070713	0.000000	0.206429	0.474182	0.000000	0.319389	0.060971	
