Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LA1=2_Wax1=2.txt
Log File Name:                   LA1=2_Wax1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1122653255
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LA1=2_Wax1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
65000	-68.390674	158	1	1	'0 0 0 0 0 Z 0 0 	D	39.540980	39.540980	39.540980	39.540980	39.540980	0.000000	39.540980	39.540980	0.250000	0.250000	0.250000	0.250000	55.221620	
66000	-68.390715	275	1	1	'0 0 0 0 0 Z 0 0 	D	83.190560	83.190560	83.190560	83.190560	83.190560	0.000000	83.190560	83.190560	0.250000	0.250000	0.250000	0.250000	45.726307	
67000	-68.389891	937	1	1	'0 0 0 0 0 Z 0 0 	D	6.383345	6.383345	6.383345	6.383345	6.383345	0.000000	6.383345	6.383345	0.250000	0.250000	0.250000	0.250000	32.226126	
68000	-68.390715	194	1	1	'0 0 0 0 0 Z 0 0 	D	9.404531	9.404531	9.404531	9.404531	9.404531	0.000000	9.404531	9.404531	0.250000	0.250000	0.250000	0.250000	17.256727	
69000	-66.847621	485	1	1	'0 0 0 0 0 Z 0 0 	D	0.350815	0.350815	0.350815	0.350815	0.350815	0.000000	0.350815	0.350815	0.250005	0.249936	0.250075	0.249985	26.767587	
70000	-65.466216	721	1	2	'0 0 0 0 0 Z 0 Z 	D	0.139103	0.139103	0.139103	0.139103	0.139103	0.000000	0.139103	0.000000	0.311144	0.324805	0.168701	0.195350	26.992130	
71000	-68.390715	229	1	1	'0 0 0 0 0 Z 0 0 	D	21.236745	21.236745	21.236745	21.236745	21.236745	0.000000	21.236745	21.236745	0.250000	0.250000	0.250000	0.250000	42.447221	
72000	-68.390715	555	1	1	'0 0 0 0 0 Z 0 0 	D	21.060464	21.060464	21.060464	21.060464	21.060464	0.000000	21.060464	21.060464	0.250000	0.250000	0.250000	0.250000	31.069564	
73000	-65.680407	106	1	1	'0 0 0 0 0 0 0 Z 	D	0.061915	0.061915	0.061915	0.061915	0.061915	0.061915	0.061915	0.000000	0.245214	0.140364	0.549032	0.065390	54.433019	
74000	-66.892014	322	1	2	'0 0 0 0 0 Z 0 Z 	D	0.334738	0.334738	0.334738	0.334738	0.334738	0.000000	0.334738	0.000000	0.271749	0.232088	0.295948	0.200215	65.328783	
75000	-68.375767	150	1	1	'0 0 0 0 0 Z 0 0 	D	2.166026	2.166026	2.166026	2.166026	2.166026	0.000000	2.166026	2.166026	0.250000	0.250000	0.250000	0.250000	43.544363	
76000	-68.390715	172	1	1	'0 0 0 0 0 Z 0 0 	D	40.675921	40.675921	40.675921	40.675921	40.675921	0.000000	40.675921	40.675921	0.250000	0.250000	0.250000	0.250000	41.902687	
77000	-68.369872	803	1	1	'0 0 0 0 0 Z 0 0 	D	24.563078	24.563078	24.563078	24.563078	24.563078	0.000000	24.563078	24.563078	0.250000	0.250000	0.250000	0.250000	42.753708	
78000	-67.188491	82	1	2	'0 0 0 0 0 Z 0 Z 	D	0.312873	0.312873	0.312873	0.312873	0.312873	0.000000	0.312873	0.000000	0.286629	0.222507	0.322569	0.168295	34.893127	
79000	-68.372856	648	1	1	'0 0 0 0 0 Z 0 0 	D	5.343010	5.343010	5.343010	5.343010	5.343010	0.000000	5.343010	5.343010	0.250000	0.250000	0.250000	0.250000	27.143702	
80000	-68.390715	766	1	1	'0 0 0 0 0 Z 0 0 	D	17.576295	17.576295	17.576295	17.576295	17.576295	0.000000	17.576295	17.576295	0.250000	0.250000	0.250000	0.250000	18.661331	
81000	-65.771852	736	1	0	'0 0 0 0 0 0 0 0 	I	0.094688	0.094688	0.094688	0.094688	0.094688	0.094688	0.094688	0.094688	0.299234	0.188670	0.314071	0.198025	8.005987	
82000	-66.713807	756	1	2	'0 0 0 0 0 0 Z Z 	D	0.082838	0.082838	0.082838	0.082838	0.082838	0.082838	0.000000	0.000000	0.382396	0.246138	0.371466	0.000000	0.587301	
83000	-64.631992	436	1	1	'0 0 0 0 0 0 Z 0 	D	0.185395	0.185395	0.185395	0.185395	0.185395	0.185395	0.000000	0.185395	0.251629	0.233514	0.264123	0.250734	0.144569	
84000	-68.255782	961	1	3	'0 0 0 0 0 Z Z Z 	D	0.521992	0.521992	0.521992	0.521992	0.521992	0.000000	0.000000	0.000000	0.359628	0.231034	0.409338	0.000000	1.498172	
85000	-64.864629	446	1	2	'0 0 0 0 0 0 Z Z 	D	0.095598	0.095598	0.095598	0.095598	0.095598	0.095598	0.000000	0.000000	0.348751	0.194671	0.456579	0.000000	13.147598	
86000	-65.291131	693	1	3	'0 0 0 0 0 Z Z Z 	D	0.233142	0.233142	0.233142	0.233142	0.233142	0.000000	0.000000	0.000000	0.364635	0.291588	0.343777	0.000000	10.480379	
87000	-64.691402	502	1	1	'0 0 0 0 0 0 Z 0 	D	0.120733	0.120733	0.120733	0.120733	0.120733	0.120733	0.000000	0.120733	0.249890	0.226386	0.270273	0.253451	5.580859	
88000	-64.806268	539	1	2	'0 0 0 0 0 0 Z Z 	D	0.078357	0.078357	0.078357	0.078357	0.078357	0.078357	0.000000	0.000000	0.242029	0.117045	0.640927	0.000000	5.946426	
89000	-66.418838	823	1	1	'0 0 0 0 0 Z 0 0 	D	0.256076	0.256076	0.256076	0.256076	0.256076	0.000000	0.256076	0.256076	0.252171	0.259497	0.237147	0.251184	1.330424	
90000	-68.374143	76	1	1	'0 0 0 0 0 Z 0 0 	D	1.319437	1.319437	1.319437	1.319437	1.319437	0.000000	1.319437	1.319437	0.250000	0.250000	0.250000	0.250000	2.745892	
91000	-64.079064	893	1	3	'0 0 0 0 0 Z Z Z 	D	0.199037	0.199037	0.199037	0.199037	0.199037	0.000000	0.000000	0.000000	0.366582	0.324122	0.309296	0.000000	0.584818	
